id_evaluacion,id_dictado,puntaje_dictado,puntaje_contenido,valoracion_general
1,1,2,3,2
2,1,3,2,2
3,1,3,3,2
4,4,2,4,3
5,4,2,2,3
6,4,3,3,2
7,4,3,3,3
8,4,2,3,2
9,4,1,2,3
10,4,3,2,3
11,4,3,3,3
12,4,3,2,2
13,5,4,2,4
14,5,3,4,3
15,5,4,2,3
16,5,4,2,2
17,5,3,4,3
18,5,3,2,3
19,5,4,3,4
20,5,3,3,3
21,5,4,2,3
22,5,3,5,3
23,5,2,4,4
24,6,5,5,5
25,6,5,5,5
26,6,5,5,5
27,6,5,5,5
28,9,3,3,4
29,9,4,3,4
30,9,4,4,3
31,9,3,3,4
32,9,3,4,3
33,9,4,3,3
34,9,4,3,3
35,9,4,3,3
36,9,4,4,3
37,9,4,4,3
38,9,4,3,3
39,9,3,4,3
40,9,4,5,4
41,9,4,2,4
42,9,4,4,3
43,10,3,4,4
44,10,2,4,3
45,10,4,4,3
46,10,5,3,4
47,10,3,3,3
48,10,4,4,3
49,10,4,4,3
50,11,3,3,3
51,11,3,3,5
52,11,3,5,4
53,11,4,3,4
54,17,5,4,4
55,17,4,4,4
56,17,4,4,4
57,17,5,3,4
58,17,4,4,3
59,20,3,3,2
60,20,3,2,3
61,20,4,3,4
62,20,3,3,2
63,20,4,3,3
64,20,4,3,4
65,20,4,2,4
66,20,2,4,3
67,20,4,3,4
68,20,2,3,3
69,20,4,3,3
70,20,3,2,4
71,22,4,5,4
72,22,3,4,4
73,22,4,4,4
74,22,4,4,5
75,22,4,3,4
76,22,4,5,3
77,22,3,4,4
78,22,5,4,4
79,25,5,4,4
80,25,3,4,3
81,25,4,4,3
82,25,2,5,3
83,25,4,4,3
84,25,3,4,4
85,25,4,4,4
86,25,4,4,4
87,25,3,4,3
88,26,2,4,3
89,26,2,3,3
90,26,2,3,3
91,26,3,4,3
92,26,4,4,3
93,34,5,5,4
94,34,4,5,5
95,34,5,5,5
96,34,4,4,5
97,34,5,5,4
98,34,5,5,5
99,37,3,4,3
100,37,4,4,4
101,37,4,4,5
102,37,5,5,4
103,37,5,5,5
104,37,5,4,4
105,37,4,4,5
106,37,3,4,4
107,37,4,5,4
108,37,5,4,5
109,37,4,5,4
110,37,3,4,4
111,37,4,5,4
112,37,4,4,4
113,37,4,4,4
114,38,4,4,4
115,38,5,4,5
116,38,3,4,5
117,38,4,4,4
118,38,4,5,4
119,38,5,4,3
120,38,3,4,5
121,38,5,5,5
122,38,4,4,5
123,38,4,5,4
